factor,factor_kind,year,horizon,active_n,control_n,active_return,control_return,return_delta,active_mae,control_mae,mae_delta,active_max_drawdown,control_max_drawdown,max_drawdown_delta
state__raw__daily__cxt_third_bs_V230318__di_1::其他,state,2022,5,235,7,-0.0050029601814071635,-0.02279089347268764,0.017787933291280474,-0.02228152877045585,-0.02845635997131987,0.0061748312008640185,-0.03133582035325282,-0.03437844129703111,0.0030426209437782875
state__raw__daily__cxt_third_bs_V230318__di_1::其他,state,2022,20,235,7,-0.0175059167540795,-0.04563728653192135,0.028131369777841853,-0.06720872874416424,-0.07100225149399039,0.003793522749826153,-0.08727472211283864,-0.07789334478485876,-0.009381377327979876
state__raw__daily__cxt_third_bs_V230318__di_1::其他,state,2022,60,235,7,-0.03505202779598602,-0.10962493119211698,0.07457290339613096,-0.13554179478531617,-0.14635421894408937,0.010812424158773204,-0.16976924132360358,-0.1851430980810254,0.015373856757421811
state__raw__daily__cxt_third_bs_V230318__di_1::其他,state,2023,5,211,26,-0.00136611555632837,-0.0160195975305526,0.014653481974224229,-0.013178055890755738,-0.034132826119538065,0.020954770228782327,-0.02037383162471909,-0.039622805865760315,0.019248974241041224
state__raw__daily__cxt_third_bs_V230318__di_1::其他,state,2023,20,196,26,-0.0124067275251321,-0.022171815035401887,0.009765087510269787,-0.03955260289396877,-0.05565539729344558,0.01610279439947681,-0.05714790683178946,-0.07291516162745816,0.0157672547956687
state__raw__daily__cxt_third_bs_V230318__di_1::其他,state,2023,60,164,18,-0.044299282607805336,-0.06287427091553516,0.01857498830772982,-0.08052733222519366,-0.10048099072477654,0.019953658499582874,-0.11980697351149285,-0.12585245596910566,0.0060454824576128136
state__raw__daily__cxt_third_bs_V230319__di_1::三买,event,2021,5,1,242,-0.03033980582524265,-0.0003049693537525527,-0.030034836471490096,-0.03033980582524265,-0.016954956995523403,-0.013384848829719246,-0.03033980582524265,-0.02566111752083626,-0.004678688304406389
state__raw__daily__cxt_third_bs_V230319__di_1::三买,event,2021,20,1,242,-0.00364077669902918,-0.005022120299828699,0.0013813436007995188,-0.05885922330097082,-0.04419917567867349,-0.014660047622297327,-0.05885922330097082,-0.06418364037176694,0.005324417070796117
state__raw__daily__cxt_third_bs_V230319__di_1::三买,event,2021,60,1,242,-0.15776699029126218,-0.016042701398355615,-0.14172428889290656,-0.16140776699029125,-0.0975122727266053,-0.06389549426368595,-0.16140776699029125,-0.12945135707442654,-0.03195640991586471
state__raw__daily__cxt_third_bs_V230319__di_1::三买,event,2022,5,2,240,-0.04196246889569405,-0.005213778996450454,-0.0367486898992436,-0.044161237585227886,-0.022279297107024625,-0.02188194047820326,-0.05102643037128329,-0.031260475047296114,-0.01976595532398718
state__raw__daily__cxt_third_bs_V230319__di_1::三买,event,2022,20,2,240,-0.07555734976071893,-0.01784265309754456,-0.05771469666317437,-0.090948730587456,-0.06712153980900673,-0.023827190778449275,-0.09755762284283204,-0.0869154077680226,-0.010642215074809433
state__raw__daily__cxt_third_bs_V230319__di_1::三买,event,2022,60,2,240,-0.10786939871575557,-0.0366202593873751,-0.07124913932838048,-0.16873161342412413,-0.13558057533462364,-0.033151038089500484,-0.19650461783761303,-0.16999485067474496,-0.02650976716286807
