dt,symbol,open,high,low,close,vol,amount
2022-12-08,510500.SH,6.207,6.215,6.173,6.197,179880280.0,1114027324.0
2022-12-09,510500.SH,6.19,6.23,6.162,6.206,196236728.0,1216913105.0
2022-12-12,510500.SH,6.195,6.204,6.155,6.183,195152738.0,1205936217.0
2022-12-13,510500.SH,6.181,6.184,6.136,6.149,205760053.0,1265907003.0
2022-12-14,510500.SH,6.149,6.168,6.105,6.123,197150083.0,1210000166.0
2022-12-15,510500.SH,6.118,6.136,6.098,6.122,171248726.0,1047808162.0
2022-12-16,510500.SH,6.109,6.111,6.066,6.099,266188643.00000003,1620817138.0
2022-12-19,510500.SH,6.094,6.106,5.942,5.97,622390961.0,3738023458.0
2022-12-20,510500.SH,5.949,5.957,5.886,5.906,428122497.0,2533727887.0
2022-12-21,510500.SH,5.91,5.92,5.837,5.876,226994690.0,1334004322.0
2022-12-22,510500.SH,5.893,5.902,5.777,5.813,226980075.0,1327241257.0
2022-12-23,510500.SH,5.783,5.833,5.759,5.791,422008102.0,2447115370.0
2022-12-26,510500.SH,5.795,5.878,5.791,5.86,383096612.0,2241569499.0
2022-12-27,510500.SH,5.884,5.905,5.846,5.9,344807815.0,2028977358.0
2022-12-28,510500.SH,5.886,5.905,5.865,5.884,228270891.0,1342473583.0
2022-12-29,510500.SH,5.869,5.922,5.852,5.881,275557197.0,1621737311.0
2022-12-30,510500.SH,5.898,5.903,5.863,5.887,156259078.0,919150284.0
2023-01-03,510500.SH,5.872,5.99,5.85,5.97,244700488.0,1452603823.0
2023-01-04,510500.SH,5.977,5.985,5.934,5.968,263374163.0,1570656301.0
2023-01-05,510500.SH,5.985,6.042,5.968,6.027,231775005.0,1394561318.0
2023-01-06,510500.SH,6.027,6.071,6.015,6.04,199272551.0,1203393451.0
2023-01-09,510500.SH,6.048,6.091,6.048,6.052,209701416.0,1271404621.0
2023-01-10,510500.SH,6.051,6.073,6.03,6.067,151506194.0,917369192.0
2023-01-11,510500.SH,6.067,6.089,6.025,6.039,231896495.00000003,1403722847.0
2023-01-12,510500.SH,6.045,6.073,6.018,6.033,170119873.0,1028140511.0
2023-01-13,510500.SH,6.042,6.086,6.033,6.084,215455222.00000003,1304987383.0
2023-01-16,510500.SH,6.091,6.198,6.091,6.143,390989077.0,2409153605.0
2023-01-17,510500.SH,6.16,6.166,6.137,6.151,301742127.0,1856161851.0
2023-01-18,510500.SH,6.152,6.196,6.152,6.175,361235634.0,2233379007.0
2023-01-19,510500.SH,6.167,6.237,6.151,6.232,301622896.0,1871362978.0
2023-01-20,510500.SH,6.242,6.28,6.241,6.277,277862983.0,1740641348.0
2023-01-30,510500.SH,6.35,6.382,6.292,6.298,404446749.0,2562862589.0
2023-01-31,510500.SH,6.296,6.331,6.281,6.303,263662170.00000003,1664269034.0
