factor,reason
state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::12笔震荡|向上|任意,state_active_support
state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::12笔震荡|向下|任意,state_active_support
state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::2笔震荡|向上|任意,minimum_absolute_effect
state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::2笔震荡|向下|任意,cross_year_direction
state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::4笔震荡|向上|任意,state_active_support
state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::4笔震荡|向下|任意,state_active_support
state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::5笔震荡|向上|任意,state_active_support
state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::5笔震荡|向下|任意,state_active_support
state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::6笔震荡|向上|任意,state_active_support
state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::6笔震荡|向下|任意,state_active_support
state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::7笔震荡|向上|任意,state_active_support
state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::7笔震荡|向下|任意,state_active_support
state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::8笔震荡|向上|任意,state_active_support
state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::8笔震荡|向下|任意,state_active_support
state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::9笔震荡|向上|任意,state_active_support
state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::9笔震荡|向下|任意,state_active_support
state__raw__30m__cxt_seven_bi_V230620__di_1__v1::向上中枢完成,state_active_support
state__raw__30m__cxt_seven_bi_V230620__di_1__v1::向下中枢完成,state_active_support
state__raw__30m__cxt_three_bi_V230618__di_1__v1::向上不重合,state_active_support
state__raw__30m__cxt_three_bi_V230618__di_1__v1::向上奔走型,state_active_support
state__raw__30m__cxt_three_bi_V230618__di_1__v1::向上扩张,state_active_support
state__raw__30m__cxt_three_bi_V230618__di_1__v1::向上收敛,state_active_support
state__raw__30m__cxt_three_bi_V230618__di_1__v1::向上无背,state_active_support
state__raw__30m__cxt_three_bi_V230618__di_1__v1::向上盘背,state_active_support
state__raw__30m__cxt_three_bi_V230618__di_1__v1::向下不重合,state_active_support
state__raw__30m__cxt_three_bi_V230618__di_1__v1::向下扩张,state_active_support
state__raw__30m__cxt_three_bi_V230618__di_1__v1::向下收敛,state_influence
state__raw__30m__cxt_three_bi_V230618__di_1__v1::向下无背,cross_year_direction
state__raw__30m__cxt_three_bi_V230618__di_1__v1::向下盘背,state_active_support
state__raw__30m__cxt_ubi_end_V230816__di_1__v1::新低,minimum_absolute_effect
state__raw__30m__cxt_ubi_end_V230816__di_1__v2::第2次,minimum_absolute_effect
state__raw__30m__cxt_ubi_end_V230816__di_1__v2::第3次,cross_year_direction
state__raw__30m__cxt_ubi_end_V230816__di_1__v2::第4次,state_active_support
state__raw__30m__cxt_ubi_end_V230816__di_1__v2::第5次,state_active_support
state__raw__30m__cxt_ubi_end_V230816__di_1__v2::第6次,state_active_support
state__raw__30m__cxt_ubi_end_V230816__di_1__v2::第7次,state_active_support
state__raw__30m__cxt_ubi_end_V230816__di_1__v2::第8次,state_active_support
state__raw__30m__cxt_ubi_end_V230816__di_1__v2::第9次,state_active_support
state__raw__30m__cxt_ubi_end_V230816__di_1__joint::新低|第2次|任意,cross_year_direction
state__raw__30m__cxt_ubi_end_V230816__di_1__joint::新低|第3次|任意,state_active_support
state__raw__30m__cxt_ubi_end_V230816__di_1__joint::新低|第4次|任意,state_active_support
state__raw__30m__cxt_ubi_end_V230816__di_1__joint::新低|第5次|任意,state_active_support
state__raw__30m__cxt_ubi_end_V230816__di_1__joint::新低|第6次|任意,state_active_support
state__raw__30m__cxt_ubi_end_V230816__di_1__joint::新低|第7次|任意,state_active_support
state__raw__30m__cxt_ubi_end_V230816__di_1__joint::新高|第2次|任意,state_active_support
state__raw__30m__cxt_ubi_end_V230816__di_1__joint::新高|第3次|任意,state_active_support
state__raw__30m__cxt_ubi_end_V230816__di_1__joint::新高|第4次|任意,state_active_support
state__raw__30m__cxt_ubi_end_V230816__di_1__joint::新高|第5次|任意,state_active_support
state__raw__30m__cxt_ubi_end_V230816__di_1__joint::新高|第6次|任意,state_active_support
state__raw__30m__cxt_ubi_end_V230816__di_1__joint::新高|第7次|任意,state_active_support
state__raw__30m__zdy_bi_end_V230406__di_1__v1::看多,cross_year_direction
state__raw__30m__zdy_bi_end_V230406__di_1__v1::看空,minimum_absolute_effect
state__raw__30m__zdy_bi_end_V230406__di_1__v3::底分区间,state_active_support
state__raw__30m__zdy_bi_end_V230406__di_1__v3::顶分区间,state_active_support
state__raw__30m__zdy_bi_end_V230406__di_1__joint::看多|任意|任意,state_influence
