object_type,object_id,counterfactual,window,champion_return,counterfactual_return,return_delta,champion_sharpe,counterfactual_sharpe,sharpe_delta,dominant_share,trade_count,exposure,max_drawdown,local_classification,weights
weight,volume_position,delta=-0.05,2022H1,-0.06477702515250938,0.04630794366340796,0.11108496881591734,-0.7230789850675907,0.7254985472584836,1.4485775323260743,0.999999999999996,13,0.4700854700854701,-0.0854180176971977,inconclusive,"[0.325, 0.325, 0.35000000000000003]"
weight,volume_position,delta=-0.05,2022H2,-0.004512956055262585,0.031168259974083456,0.03568121602934604,0.027823439228323324,0.5734616952061417,0.5456382559778183,0.576613737761093,11,0.504,-0.07853962266736636,inconclusive,"[0.325, 0.325, 0.35000000000000003]"
weight,volume_position,delta=-0.05,2023H1,0.0509484040161825,0.0605698933134724,0.009621489297289898,0.7678236149964333,0.9146848431524612,0.14686122815602798,0.4495402992501222,18,0.7203389830508474,-0.08477516092533666,inconclusive,"[0.325, 0.325, 0.35000000000000003]"
weight,volume_position,delta=-0.05,2023H2,-0.10632026926329408,-0.06862083552634068,0.03769943373695339,-2.295242649962902,-1.5912144703692825,0.7040281795936196,0.4178431277922672,13,0.3709677419354839,-0.07805054174871007,inconclusive,"[0.325, 0.325, 0.35000000000000003]"
weight,volume_position,delta=-0.05,2024H1,-0.09485536840967668,-0.04020162383281167,0.054653744576865004,-1.2263976900051408,-0.5406359233230692,0.6857617666820716,0.8582803987989517,12,0.47863247863247865,-0.08766782107561466,inconclusive,"[0.325, 0.325, 0.35000000000000003]"
weight,volume_position,delta=-0.05,2024H2,0.18015949433488965,0.25608282562247786,0.07592333128758821,1.0655359885390128,1.3680109266372538,0.302474938098241,0.446787506443163,13,0.432,-0.1823154056517774,inconclusive,"[0.325, 0.325, 0.35000000000000003]"
weight,volume_position,delta=-0.05,2025H1,0.03483459850082471,0.06354668570369837,0.02871208720287366,0.5727132492529325,0.969738404007184,0.3970251547542515,0.37430330640043,11,0.5384615384615384,-0.09795714927787813,inconclusive,"[0.325, 0.325, 0.35000000000000003]"
weight,volume_position,delta=-0.05,2025H2,0.466221134770592,0.381082859270226,-0.08513827550036601,3.257468496072225,2.8371094604762574,-0.42035903559596743,0.764390510946998,7,0.7380952380952381,-0.13690346751518845,inconclusive,"[0.325, 0.325, 0.35000000000000003]"
weight,volume_position,delta=+0.05,2021,0.0029406556554447683,0.0003944272648819247,-0.0025462283905628436,0.13294054781997158,0.11563662698572559,-0.017303920834245992,0.5136290992314734,33,0.6460905349794238,-0.20293897818394957,inconclusive,"[0.27499999999999997, 0.27499999999999997, 0.45]"
weight,volume_position,delta=+0.05,2022,-0.07098337536211052,-0.07098337536211052,0.0,-0.3925555936985177,-0.3925555936985177,0.0,0.0,27,0.5454545454545454,-0.167370458417332,inconclusive,"[0.27499999999999997, 0.27499999999999997, 0.45]"
weight,volume_position,delta=+0.05,2023,-0.06031910763728798,-0.05939513429179777,0.0009239733454902144,-0.3898777490492146,-0.3821838794443503,0.00769386960486429,0.0,29,0.6611570247933884,-0.18953436635562337,inconclusive,"[0.27499999999999997, 0.27499999999999997, 0.45]"
