kind,id,name,information_family,status,provider,version
signal,SIG-CZSC-cxt_overlap_V240526,cxt_overlap_V240526,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_overlap_V240612,cxt_overlap_V240612,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_range_oscillation_V230620,cxt_range_oscillation_V230620,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_second_bs_V230320,cxt_second_bs_V230320,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_second_bs_V240524,cxt_second_bs_V240524,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_seven_bi_V230620,cxt_seven_bi_V230620,MARKET_STRUCTURE,READY,czsc,1
signal,SIG-CZSC-cxt_third_bs_V230318,cxt_third_bs_V230318,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_third_bs_V230319,cxt_third_bs_V230319,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_third_buy_V230228,cxt_third_buy_V230228,MARKET_STRUCTURE,READY,czsc,1
signal,SIG-CZSC-cxt_three_bi_V230618,cxt_three_bi_V230618,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_ubi_end_V230816,cxt_ubi_end_V230816,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_zhong_shu_gong_zhen_V221221,cxt_zhong_shu_gong_zhen_V221221,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-dema_up_dw_line_V230605,dema_up_dw_line_V230605,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-demakder_up_dw_line_V230605,demakder_up_dw_line_V230605,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-emv_up_dw_line_V230605,emv_up_dw_line_V230605,VOLUME_LIQUIDITY,READY,czsc,1
signal,SIG-CZSC-er_up_dw_line_V230604,er_up_dw_line_V230604,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-jcc_ci_tou_V221101,jcc_ci_tou_V221101,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-jcc_fan_ji_xian_V221121,jcc_fan_ji_xian_V221121,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-jcc_fen_shou_xian_V20221113,jcc_fen_shou_xian_V20221113,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-jcc_gap_yin_yang_V221121,jcc_gap_yin_yang_V221121,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-jcc_ping_tou_V221113,jcc_ping_tou_V221113,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-jcc_san_fa_V20221115,jcc_san_fa_V20221115,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-jcc_san_fa_V20221118,jcc_san_fa_V20221118,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-jcc_san_szx_V221122,jcc_san_szx_V221122,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-jcc_san_xing_xian_V221023,jcc_san_xing_xian_V221023,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-jcc_shan_chun_V221121,jcc_shan_chun_V221121,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-jcc_szx_V221111,jcc_szx_V221111,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-jcc_ta_xing_V221124,jcc_ta_xing_V221124,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-jcc_ten_mo_V221028,jcc_ten_mo_V221028,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-jcc_three_crow_V221108,jcc_three_crow_V221108,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-jcc_two_crow_V221108,jcc_two_crow_V221108,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-jcc_wu_yun_gai_ding_V221101,jcc_wu_yun_gai_ding_V221101,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-jcc_xing_xian_V221118,jcc_xing_xian_V221118,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-jcc_yun_xian_V221118,jcc_yun_xian_V221118,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-jcc_zhu_huo_xian_V221027,jcc_zhu_huo_xian_V221027,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-kcatr_up_dw_line_V230823,kcatr_up_dw_line_V230823,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-ntmdk_V230824,ntmdk_V230824,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-obv_up_dw_line_V230719,obv_up_dw_line_V230719,VOLUME_LIQUIDITY,DISCOVERED,czsc,1
signal,SIG-CZSC-obvm_line_V230610,obvm_line_V230610,VOLUME_LIQUIDITY,DISCOVERED,czsc,1
