left_signal_id,left_name,left_family,right_signal_id,right_name,right_family,nmi,near_redundant
SIG-30M-D5D7A8AC665E6603,bar_bpm_V230227,TREND_MOMENTUM,SIG-30M-DBCF1773F1530589,tas_macd_power_V221108,TREND_MOMENTUM,0.25126523500295683,False
SIG-30M-BF09ECD9ABCE55A0,xl_bar_trend_V240330,OTHER_TECHNICAL,SIG-30M-CC8A74C77A1634F3,xl_bar_trend_V240623,OTHER_TECHNICAL,0.2512508475558488,False
SIG-30M-6FD7E2EE42E77B3A,xl_bar_trend_V240331,OTHER_TECHNICAL,SIG-30M-37DE76F11A7573E6,bar_section_momentum_V221112,TREND_MOMENTUM,0.25076699538157976,False
SIG-30M-A4E0E0C62CBC2773,bar_dual_thrust_V230403,TREND_MOMENTUM,SIG-30M-503B24C255FFAADB,bar_single_V230506,TREND_MOMENTUM,0.25060184890074555,False
SIG-30M-FCF161C964C5C292,tas_macd_base_V221028,TREND_MOMENTUM,SIG-30M-0EBDC289C363AE05,tas_slope_V231019,TREND_MOMENTUM,0.2503353303022395,False
SIG-30M-6FD7E2EE42E77B3A,xl_bar_trend_V240331,OTHER_TECHNICAL,SIG-30M-1BCB885FB8958A9F,tas_double_ma_V221203,TREND_MOMENTUM,0.2501263735299323,False
SIG-30M-EDA4CA09BFFD9B6B,zdy_macd_dif_iqr_V230521,OTHER_TECHNICAL,SIG-30M-0EBDC289C363AE05,tas_slope_V231019,TREND_MOMENTUM,0.24902639484297212,False
SIG-30M-88366CEFFFE7FEE2,coo_cci_V230323,OTHER_TECHNICAL,SIG-30M-0D20B698553AEE56,bar_polyfit_V240428,TREND_MOMENTUM,0.24892431222065228,False
SIG-30M-1BCB885FB8958A9F,tas_double_ma_V221203,TREND_MOMENTUM,SIG-30M-DBCF1773F1530589,tas_macd_power_V221108,TREND_MOMENTUM,0.2458532926887209,False
SIG-30M-F0D83E53E4EF7922,cxt_fx_power_V221107,STRUCTURE,SIG-30M-AB6ADC510F2D5223,emv_up_dw_line_V230605,VOLUME_FLOW,0.24552215595451882,False
SIG-30M-0D20B698553AEE56,bar_polyfit_V240428,TREND_MOMENTUM,SIG-30M-1BCB885FB8958A9F,tas_double_ma_V221203,TREND_MOMENTUM,0.24369971323648765,False
SIG-30M-CC8A74C77A1634F3,xl_bar_trend_V240623,OTHER_TECHNICAL,SIG-30M-0DF4ABB160CC5463,cxt_ubi_end_V230816,STRUCTURE,0.24363810764227567,False
SIG-30M-6FD7E2EE42E77B3A,xl_bar_trend_V240331,OTHER_TECHNICAL,SIG-30M-770956D737EC6834,bar_big_solid_V230215,TREND_MOMENTUM,0.24302645951620425,False
SIG-30M-8496D83608BCE4DC,byi_fx_num_V230628,OTHER_TECHNICAL,SIG-30M-0DF4ABB160CC5463,cxt_ubi_end_V230816,STRUCTURE,0.24278110009163872,False
SIG-30M-0BE44721879919A1,cci_decision_V240620,TREND_MOMENTUM,SIG-30M-5AB8F67776EBF508,tas_ma_system_V230513,TREND_MOMENTUM,0.2426726011059981,False
SIG-30M-C485339CC0995A79,coo_kdj_V230322,OTHER_TECHNICAL,SIG-30M-5DFFC57AC894B9C0,tas_kdj_base_V221101,TREND_MOMENTUM,0.24134866529910293,False
SIG-30M-CC8A74C77A1634F3,xl_bar_trend_V240623,OTHER_TECHNICAL,SIG-30M-A7271D31A8FD954E,tas_boll_power_V221112,TREND_MOMENTUM,0.2412880468991259,False
SIG-30M-6FD7E2EE42E77B3A,xl_bar_trend_V240331,OTHER_TECHNICAL,SIG-30M-D5D7A8AC665E6603,bar_bpm_V230227,TREND_MOMENTUM,0.24128587361616727,False
SIG-30M-88366CEFFFE7FEE2,coo_cci_V230323,OTHER_TECHNICAL,SIG-30M-D5D7A8AC665E6603,bar_bpm_V230227,TREND_MOMENTUM,0.24090273645380195,False
