object_type,object_id,counterfactual,window,champion_return,counterfactual_return,return_delta,champion_sharpe,counterfactual_sharpe,sharpe_delta,dominant_share,trade_count,exposure,max_drawdown
signal,raw__30m__cxt_bi_status_V230101,drop_and_reaggregate,2024H2,0.18015949433488965,0.17825076618932578,-0.001908728145563865,1.0655359885390128,1.0583799163629242,-0.0071560721760886015,0.6320563827436002,13,0.496,-0.21389729734057217
signal,raw__30m__cxt_bi_status_V230101,drop_and_reaggregate,2025H1,0.03483459850082471,-0.022441134187069722,-0.05727573268789443,0.5727132492529325,-0.17063643867258146,-0.743349687925514,0.9247440258438423,15,0.6752136752136753,-0.12774029604298665
signal,raw__30m__cxt_bi_status_V230101,drop_and_reaggregate,2025H2,0.466221134770592,0.3105005342414908,-0.1557206005291012,3.257468496072225,2.38144826752227,-0.876020228549955,0.7311198783101064,9,0.7301587301587301,-0.16610159107692146
signal,raw__30m__cxt_third_buy_V230228__di_1,zero_contribution,2021,0.0029406556554447683,0.006692303993308002,0.0037516483378632337,0.13294054781997158,0.15742108036318633,0.02448053254321475,0.0,31,0.654320987654321,-0.21726842104382538
signal,raw__30m__cxt_third_buy_V230228__di_1,zero_contribution,2022,-0.07098337536211052,-0.07098337536211052,0.0,-0.3925555936985177,-0.3925555936985177,0.0,0.0,27,0.5454545454545454,-0.167370458417332
signal,raw__30m__cxt_third_buy_V230228__di_1,zero_contribution,2023,-0.06031910763728798,-0.06031910763728798,0.0,-0.3898777490492146,-0.3898777490492146,0.0,0.0,29,0.6570247933884298,-0.19033050155566777
signal,raw__30m__cxt_third_buy_V230228__di_1,zero_contribution,2024,0.06821503071757551,0.06821503071757551,0.0,0.429718323504386,0.429718323504386,0.0,0.0,31,0.5289256198347108,-0.18357160128619643
signal,raw__30m__cxt_third_buy_V230228__di_1,zero_contribution,2025,0.5165797353772803,0.5165797353772803,0.0,2.1935321360904703,2.1935321360904703,0.0,0.0,23,0.720164609053498,-0.12500239103219846
signal,raw__30m__cxt_third_buy_V230228__di_1,zero_contribution,2021H1,0.24893799167194453,0.24893799167194453,0.0,3.071835242807882,3.071835242807882,0.0,0.0,5,0.6440677966101694,-0.070445854346318
signal,raw__30m__cxt_third_buy_V230228__di_1,zero_contribution,2021H2,-0.19785984963082448,-0.1948593253775729,0.0030005242532515908,-2.7932256547119008,-2.741997407743323,0.05122824696857764,0.0,27,0.664,-0.21726842104382527
signal,raw__30m__cxt_third_buy_V230228__di_1,zero_contribution,2022H1,-0.06477702515250938,-0.06477702515250938,0.0,-0.7230789850675907,-0.7230789850675907,0.0,0.0,13,0.5299145299145299,-0.167370458417332
signal,raw__30m__cxt_third_buy_V230228__di_1,zero_contribution,2022H2,-0.004512956055262585,-0.004512956055262585,0.0,0.027823439228323324,0.027823439228323324,0.0,0.0,15,0.56,-0.09410443425020654
signal,raw__30m__cxt_third_buy_V230228__di_1,zero_contribution,2023H1,0.0509484040161825,0.0509484040161825,0.0,0.7678236149964333,0.7678236149964333,0.0,0.0,15,0.847457627118644,-0.09040812622954864
signal,raw__30m__cxt_third_buy_V230228__di_1,zero_contribution,2023H2,-0.10632026926329408,-0.10632026926329408,0.0,-2.295242649962902,-2.295242649962902,0.0,0.0,15,0.47580645161290325,-0.12099160975498391
signal,raw__30m__cxt_third_buy_V230228__di_1,zero_contribution,2024H1,-0.09485536840967668,-0.09485536840967668,0.0,-1.2263976900051408,-1.2263976900051408,0.0,0.0,16,0.5555555555555556,-0.11218947015927683
signal,raw__30m__cxt_third_buy_V230228__di_1,zero_contribution,2024H2,0.18015949433488965,0.18015949433488965,0.0,1.0655359885390128,1.0655359885390128,0.0,0.0,15,0.504,-0.18357160128619576
signal,raw__30m__cxt_third_buy_V230228__di_1,zero_contribution,2025H1,0.03483459850082471,0.03483459850082471,0.0,0.5727132492529325,0.5727132492529325,0.0,0.0,13,0.6581196581196581,-0.12500239103219846
signal,raw__30m__cxt_third_buy_V230228__di_1,zero_contribution,2025H2,0.466221134770592,0.466221134770592,0.0,3.257468496072225,3.257468496072225,0.0,0.0,11,0.7777777777777778,-0.10762651461154682
signal,raw__30m__cxt_third_buy_V230228__di_1,drop_and_reaggregate,2021,0.0029406556554447683,0.05944496499913288,0.05650430934368811,0.13294054781997158,0.4995217561173292,0.36658120829735763,0.8215764371768914,27,0.6213991769547325,-0.17625174347567785
signal,raw__30m__cxt_third_buy_V230228__di_1,drop_and_reaggregate,2022,-0.07098337536211052,0.05628892482383807,0.1272723001859486,-0.3925555936985177,0.49494355478631713,0.8874991484848349,0.999999999999996,27,0.512396694214876,-0.09410443425020698
signal,raw__30m__cxt_third_buy_V230228__di_1,drop_and_reaggregate,2023,-0.06031910763728798,-0.004574532526194552,0.05574457511109343,-0.3898777490492146,0.05666702152512826,0.44654477057434283,0.5857613922044856,31,0.6033057851239669,-0.15786335880759872
signal,raw__30m__cxt_third_buy_V230228__di_1,drop_and_reaggregate,2024,0.06821503071757551,0.16896595074893273,0.10075092003135722,0.429718323504386,0.7237788396247387,0.29406051612035267,0.4893781068421865,27,0.47107438016528924,-0.18231540565177762
signal,raw__30m__cxt_third_buy_V230228__di_1,drop_and_reaggregate,2025,0.5165797353772803,0.48922563597162605,-0.027354099405654253,2.1935321360904703,2.098760053992692,-0.09477208209777821,0.46959847573574043,23,0.7037037037037037,-0.12191764774876102
signal,raw__30m__cxt_third_buy_V230228__di_1,drop_and_reaggregate,2021H1,0.24893799167194453,0.24893799167194453,0.0,3.071835242807882,3.071835242807882,0.0,0.0,5,0.6440677966101694,-0.070445854346318
signal,raw__30m__cxt_third_buy_V230228__di_1,drop_and_reaggregate,2021H2,-0.19785984963082448,-0.1526683670262705,0.04519148260455397,-2.7932256547119008,-2.1966724135266276,0.5965532411852732,0.8215764371768907,23,0.6,-0.17625174347567785
signal,raw__30m__cxt_third_buy_V230228__di_1,drop_and_reaggregate,2022H1,-0.06477702515250938,0.04630794366340796,0.11108496881591734,-0.7230789850675907,0.7254985472584836,1.4485775323260743,0.999999999999996,13,0.4700854700854701,-0.0854180176971977
signal,raw__30m__cxt_third_buy_V230228__di_1,drop_and_reaggregate,2022H2,-0.004512956055262585,0.011697082016634441,0.016210038071897026,0.027823439228323324,0.27123098105323173,0.24340754182490842,0.0,15,0.552,-0.09410443425020654
signal,raw__30m__cxt_third_buy_V230228__di_1,drop_and_reaggregate,2023H1,0.0509484040161825,0.08060177806289359,0.02965337404671109,0.7678236149964333,1.1436104601497874,0.37578684515335414,0.9999999999999539,17,0.8220338983050848,-0.08328094827818111
signal,raw__30m__cxt_third_buy_V230228__di_1,drop_and_reaggregate,2023H2,-0.10632026926329408,-0.07928339220800162,0.027036877055292452,-2.295242649962902,-1.806711131856024,0.4885315181068781,0.61946290369463,15,0.3951612903225806,-0.0943985910702776
signal,raw__30m__cxt_third_buy_V230228__di_1,drop_and_reaggregate,2024H1,-0.09485536840967668,-0.06935599555735716,0.025499372852319513,-1.2263976900051408,-1.0353304429773504,0.19106724702779032,0.9379624526349357,14,0.5128205128205128,-0.11538038252715943
signal,raw__30m__cxt_third_buy_V230228__di_1,drop_and_reaggregate,2024H2,0.18015949433488965,0.25608282562247786,0.07592333128758821,1.0655359885390128,1.3680109266372538,0.302474938098241,0.446787506443163,13,0.432,-0.1823154056517774
signal,raw__30m__cxt_third_buy_V230228__di_1,drop_and_reaggregate,2025H1,0.03483459850082471,0.05901475470040074,0.02418015619957603,0.5727132492529325,0.8912081928622017,0.3184949436092691,0.9999999999999721,13,0.6581196581196581,-0.12191764774876102
signal,raw__30m__cxt_third_buy_V230228__di_1,drop_and_reaggregate,2025H2,0.466221134770592,0.40690139373549816,-0.059319741035093854,3.257468496072225,2.894979328374365,-0.3624891676978601,0.7046053644590924,11,0.746031746031746,-0.11355876027830492
