omitted_count,omitted_signal_dates,remaining_trades,mean_return_4,mean_return_5,mean_return_6,mean_band_return,mean_peak_advantage
2,2021-05-21|2026-04-02,23,0.007215968888834931,0.010815705510590577,0.00923028322001918,0.009087319206481563,0.002592579456163521
2,2021-05-21|2026-08-03,23,0.005917120205322921,0.009399895448132814,0.008583818663589439,0.007966944772348392,0.0021494260136766348
2,2022-08-04|2022-10-25,23,0.009127886697810143,0.010968437850985866,0.0104235872652974,0.010173303938031137,0.0011927008694320946
2,2022-08-04|2022-12-02,23,0.008895899004118522,0.011632258058838415,0.011310810424303916,0.010612989162420285,0.0015289033446271958
2,2022-08-04|2023-02-17,23,0.0081196034334455,0.011077582933972053,0.01071362250876726,0.009970269625394936,0.0016609699628656737
2,2022-08-04|2023-03-06,23,0.009935825766578043,0.012557815587066073,0.012158901881170471,0.011550847744938197,0.001510451763191816
2,2022-08-04|2023-03-20,23,0.00784538567298729,0.010630696120829014,0.010253462812736598,0.009576514868850966,0.0015812718779670686
2,2022-08-04|2023-03-29,23,0.007780363225148862,0.01046865052603835,0.009661998344577805,0.009303670698588338,0.0017474697411750165
2,2022-08-04|2023-05-11,23,0.008812809323381373,0.01164748391656512,0.01114370663575337,0.01053466662523329,0.0016692259369977488
2,2022-08-04|2023-07-10,23,0.0085002222016943,0.01132858574686575,0.011030578469084323,0.01028646213921479,0.0015631854114764381
2,2022-08-04|2023-07-18,23,0.008885281183095747,0.011321587036856517,0.0109379506181977,0.010381606279383324,0.0014099711362097948
2,2022-08-04|2023-09-15,23,0.009440631553339822,0.011485518854997321,0.011275930346885132,0.010734026918407425,0.001127237904884844
