l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,300671.SZ,富满微,2017-06-15,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,300672.SZ,国科微,2017-06-28,,Y
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,300706.SZ,阿石创,2019-07-24,,Y
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,300782.SZ,卓胜微,2019-05-29,,Y
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,300812.SZ,易天股份,2021-07-30,2022-07-28,N
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,300831.SZ,ST派瑞,2020-04-16,,Y
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,300842.SZ,帝科股份,2020-06-05,2021-07-29,N
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,301297.SZ,富乐德,2022-12-23,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,301308.SZ,江波龙,2022-07-25,,Y
801080.SI,电子,801081.SI,半导体,850817.SI,集成电路封测,301348.SZ,蓝箭电子,2023-07-31,,Y
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,301369.SZ,联动科技,2022-09-09,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,301536.SZ,星宸科技,2024-03-18,,Y
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,301583.SZ,托伦斯,2026-06-19,,Y
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,301611.SZ,珂玛科技,2024-08-02,,Y
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,301629.SZ,矽电股份,2025-03-07,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,301666.SZ,大普微-UW,2026-04-03,,Y
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,301678.SZ,新恒汇,2025-05-30,,Y
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,301717.SZ,超纯应材,2026-07-24,,Y
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,600171.SH,上海贝岭,1998-09-24,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,600198.SH,大唐电信,1998-10-21,2022-07-28,N
