hypothesis_id,exit_bars,year,episodes,mean_return,median_return,win_rate,profit_factor,cagr,max_drawdown,calmar
M04,12,2026,119,-0.0012815379141353437,-0.0018395373032590312,0.4369747899159664,0.6459484568507007,-0.14430325429878466,-0.1974464827717607,-0.7308474289997496
M05,12,2021,110,-0.0010117662712694916,-0.0010171430278900773,0.39090909090909093,0.5884380310774785,-0.10656548170038904,-0.12873321379068636,-0.8278009890567875
M05,12,2022,136,-0.0006292923350529407,-0.0007000687037034825,0.41911764705882354,0.753845597089848,-0.0843994632563041,-0.08871695303876392,-0.9513341065650288
M05,12,2023,128,-0.0015144304295629197,-0.0016062311221984316,0.3125,0.31474212415363645,-0.17690081551523962,-0.18220089334559075,-0.9709108021753868
M05,12,2024,131,-0.0015877774155048474,-0.0015173698328773133,0.3816793893129771,0.4909704139991348,-0.19005823269067157,-0.19095810376253763,-0.9952875994569726
M05,12,2025,122,-0.0008058300907973716,-0.0006553459246717575,0.4262295081967213,0.6584199439497949,-0.09534490751887614,-0.11008355706998962,-0.8661139779327548
M05,12,2026,87,-0.002193332446491339,-0.001780248742332291,0.41379310344827586,0.4212190572172774,-0.17555443776276025,-0.18286337068462843,-0.960030634377437
M06,12,2021,148,-0.0008792735249667055,-0.0010152563783867863,0.42567567567567566,0.5694657063892384,-0.12312354523120739,-0.12556099060647563,-0.9805875585761543
M06,12,2022,171,-0.0011089285198645981,-0.0015261666106211047,0.3684210526315789,0.5951098058329167,-0.1754751619552828,-0.1725841828116882,-1.0167511245613339
M06,12,2023,154,-0.0011413900854940827,-0.001542123061944345,0.3181818181818182,0.46705937523002455,-0.1621925044864153,-0.17163540516656883,-0.944982792617937
M06,12,2024,159,-0.0018202023550032748,-0.0024569895587382984,0.3522012578616352,0.46944003222780595,-0.2538477588225573,-0.2528165282818835,-1.0040789680472315
M06,12,2025,159,-0.0011535727728485049,-0.0013706895135270347,0.3584905660377358,0.48674088016665995,-0.16889883876630163,-0.16892658546367512,-0.9998357470063263
M06,12,2026,98,-0.000609839452097962,-0.0010743678855218985,0.41836734693877553,0.788678016904782,-0.06020489631295767,-0.09034847817663505,-0.6663631477583339
M07,12,2021,204,-0.0007004843571393503,-0.00037252511079649553,0.46568627450980393,0.6549930801061988,-0.13482238604216013,-0.14014450536808376,-0.9620240600090221
M07,12,2022,192,-0.001748939547976252,-0.0021809219996837825,0.359375,0.4835201360760128,-0.28830326775669224,-0.2915834459180653,-0.9887504650648282
M07,12,2023,197,-0.0011604302007347962,-0.0016735447810137805,0.28426395939086296,0.43704495439397684,-0.20539640008302373,-0.2271449582075462,-0.9042525165597096
M07,12,2024,209,-0.0015847732262821409,-0.0019962488894055275,0.37799043062200954,0.531270056583423,-0.2867595714166681,-0.3142087245105051,-0.9126403853470362
M07,12,2025,188,-0.0013095111792691665,-0.00136628089950952,0.3882978723404255,0.4985112913231855,-0.22010998859013264,-0.24359844080311988,-0.90357716520866
M07,12,2026,141,-0.0012775348770359353,-0.0008425658890380827,0.3900709219858156,0.6212387665830558,-0.1680577533331532,-0.18420548039347717,-0.9123385090072718
M01,24,2021,116,-0.0003814417905009775,-0.0005006936656055117,0.45689655172413796,0.8302581555570798,-0.04477130811397301,-0.059026986858967345,-0.7584887946414188
M01,24,2022,120,-0.0019266431959698322,-0.0023539890224951177,0.3416666666666667,0.4983450299860065,-0.20894539306373616,-0.20540197122495207,-1.0172511579010282
